number,value,datetime_start,datetime_complete,duration,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,state
28,0.5976458333333333,2026-08-14 12:35:12.313493,2026-08-14 12:38:19.116193,0 days 00:03:06.802700,0.5419433139914592,0.07776365064543538,15400,8.67448455548566,COMPLETE
29,0.4523194444444445,2026-08-14 12:38:19.116193,2026-08-14 12:40:52.468822,0 days 00:02:33.352629,0.588046620203812,0.05160961483628912,51857,4.603790975243293,COMPLETE
30,0.4627291666666667,2026-08-14 12:40:52.468822,2026-08-14 12:42:29.468360,0 days 00:01:36.999538,0.4548918978113473,0.22599389775269768,59696,7.635727625588657,PRUNED
31,0.5964444444444444,2026-08-14 12:42:29.468360,2026-08-14 12:45:25.888392,0 days 00:02:56.420032,0.639158807128101,0.09584799934415411,31778,10.589047379817057,COMPLETE
32,0.7455138888888889,2026-08-14 12:45:25.888392,2026-08-14 12:48:42.863272,0 days 00:03:16.974880,0.722190996921907,0.11919289236991282,25468,11.428432688782982,COMPLETE
33,0.7553611111111111,2026-08-14 12:48:42.863272,2026-08-14 12:51:50.300024,0 days 00:03:07.436752,0.6038211846206781,0.07223816636256467,37771,9.629682654606434,COMPLETE
34,0.30638194444444444,2026-08-14 12:51:50.300024,2026-08-14 12:54:05.909029,0 days 00:02:15.609005,0.7223940148691945,0.07385500731723703,37745,9.352041351251628,COMPLETE
35,0.5919722222222222,2026-08-14 12:54:05.909029,2026-08-14 12:58:18.512912,0 days 00:04:12.603883,0.6480044008427313,0.1399947504374176,36031,9.202247824469307,COMPLETE
36,0.7602986111111111,2026-08-14 12:58:18.512912,2026-08-14 13:01:11.186302,0 days 00:02:52.673390,0.6041555810405892,0.29463002032674696,56521,8.2655275076265,COMPLETE
37,0.0,2026-08-14 13:01:11.186302,2026-08-14 13:02:39.925191,0 days 00:01:28.738889,0.611301520324546,0.2958148128741723,55740,8.043016398756874,PRUNED
38,0.5964999999999999,2026-08-14 13:02:39.926199,2026-08-14 13:06:42.014507,0 days 00:04:02.088308,0.5643265583414752,0.25444977586572143,53991,4.703291901002837,COMPLETE
39,0.30269444444444443,2026-08-14 13:06:42.014507,2026-08-14 13:09:21.866165,0 days 00:02:39.851658,0.7682325463177689,0.26506985374623193,57464,9.970384783878908,COMPLETE
40,0.6015833333333334,2026-08-14 13:09:21.866165,2026-08-14 13:12:14.939534,0 days 00:02:53.073369,0.6111527451660604,0.236720815406333,22518,6.088919134171628,COMPLETE
41,0.4419375,2026-08-14 13:12:14.939534,2026-08-14 13:13:01.022215,0 days 00:00:46.082681,0.5208060163831653,0.06671424676804996,55955,8.977842255721189,PRUNED
42,0.7571388888888889,2026-08-14 13:13:01.022215,2026-08-14 13:15:40.703235,0 days 00:02:39.681020,0.5672998519126415,0.19473427849462102,41733,8.234875731117961,COMPLETE
43,0.4530833333333333,2026-08-14 13:15:40.703235,2026-08-14 13:17:57.297093,0 days 00:02:16.593858,0.5672461673846616,0.19604074805367167,42213,8.301547905647368,COMPLETE
44,0.46179166666666666,2026-08-14 13:17:57.297093,2026-08-14 13:19:42.304574,0 days 00:01:45.007481,0.6557950139975839,0.2872560914135035,33214,7.093994278368843,PRUNED
45,0.5941875,2026-08-14 13:19:42.304574,2026-08-14 13:23:08.819084,0 days 00:03:26.514510,0.49151364410756,0.2684952724987339,40464,7.976270473692375,COMPLETE
46,0.8828055555555556,2026-08-14 13:23:08.819084,2026-08-14 13:27:19.972912,0 days 00:04:11.153828,0.5970768212740787,0.2326940501992366,38824,4.674523052289048,COMPLETE
47,0.595826388888889,2026-08-14 13:27:19.972912,2026-08-14 13:31:25.268045,0 days 00:04:05.295133,0.5994701725175642,0.22179086052902613,38659,9.63036679600549,COMPLETE
48,0.4503055555555555,2026-08-14 13:31:25.268045,2026-08-14 13:34:43.280534,0 days 00:03:18.012489,0.8721434763467671,0.24513840203225426,36363,8.788747430661822,COMPLETE
49,0.6033958333333334,2026-08-14 13:34:43.280534,2026-08-14 13:38:07.251414,0 days 00:03:23.970880,0.6300523848112665,0.27564021500345726,28854,6.307427673629821,COMPLETE
