number,value,datetime_start,datetime_complete,duration,params_centerline_gain,params_grrt_corridor_sample,params_grrt_goal_bias,params_grrt_max_iters,params_grrt_step_m,params_safe_distance,params_time_horizon,state
38,0.6105972222222222,2026-08-13 22:17:51.849684,2026-08-13 22:19:08.403911,0 days 00:01:16.554227,0.09042464848408979,0.7299392145321187,0.15385025314070228,57608,4.923390166605736,0.39447782495292033,4.537445043670893,COMPLETE
39,0.0,2026-08-13 22:19:08.403911,2026-08-13 22:20:20.543108,0 days 00:01:12.139197,0.020021378532921533,0.42883191409636434,0.1845216992704357,54833,7.0537430808212065,0.43139931875154874,5.528997597319211,PRUNED
40,0.4569513888888889,2026-08-13 22:20:20.543108,2026-08-13 22:21:31.962863,0 days 00:01:11.419755,0.03262219886652195,0.7668431800495383,0.20907955151591875,51823,4.287554119857821,0.27948345324689905,1.9483832693184253,COMPLETE
41,0.46715277777777775,2026-08-13 22:21:31.962863,2026-08-13 22:22:30.679561,0 days 00:00:58.716698,0.06063604164374146,0.5281685056631753,0.0891603869076236,47385,8.826278118749759,0.2217445407745099,4.016439195217534,COMPLETE
42,0.7564375,2026-08-13 22:22:30.679561,2026-08-13 22:23:57.454400,0 days 00:01:26.774839,0.0834867717467987,0.5188005544827665,0.12719508888340342,58295,9.803150493895458,0.22030887205437197,4.638160627209444,COMPLETE
43,0.45820833333333333,2026-08-13 22:23:57.454400,2026-08-13 22:25:30.212250,0 days 00:01:32.757850,0.05607203341941579,0.4783797296873905,0.11202426527706,44930,8.168400311518786,0.2629354867558107,2.8596904055716466,COMPLETE
44,0.8995902777777779,2026-08-13 22:25:30.212250,2026-08-13 22:27:15.626495,0 days 00:01:45.414245,0.07213598773179167,0.6213787083667436,0.16173538932905543,55942,7.548946883028618,0.2449087995009456,3.1016425357027444,COMPLETE
45,0.46236805555555555,2026-08-13 22:27:15.626495,2026-08-13 22:28:32.129147,0 days 00:01:16.502652,0.1569353994781249,0.6354839728938163,0.16831229743659903,24116,5.971942951681507,0.2513386430991497,1.5338359948793314,COMPLETE
46,0.6024861111111112,2026-08-13 22:28:32.129147,2026-08-13 22:30:02.957145,0 days 00:01:30.827998,0.09818808475697352,0.7076993008980443,0.15606356886977527,55289,7.382021597382922,0.3035367744495266,2.5269693872073873,COMPLETE
47,0.0,2026-08-13 22:30:02.957145,2026-08-13 22:30:18.565047,0 days 00:00:15.607902,0.2595421170685415,0.6167208526881258,0.14556089948567671,52349,10.604000166198034,0.28146070757372543,2.115188711556009,PRUNED
48,0.9014166666666666,2026-08-13 22:30:18.565047,2026-08-13 22:30:37.241035,0 days 00:00:18.675988,0.0799952736213945,0.6787861494144307,0.19166246398763231,58311,5.358009437834967,0.37807332639711144,3.0616621872855276,PRUNED
49,0.4599097222222222,2026-08-13 22:30:37.241035,2026-08-13 22:32:09.953834,0 days 00:01:32.712799,0.018886068438856655,0.5701104754758977,0.10245232688522408,56271,6.747738246714284,0.32355194735259185,3.627723771315325,COMPLETE
