success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
True,goal_reached,682,340.5,302.437,295.8,1.0224,1.0936,0.219,0.41,0,37,0.0543,0.0544,0,0.0,0.888,0.106,0.064,0.182,108,dwa
False,collision,457,228.0,209.558,295.8,0.7084,0.7323,87.546,0.183,1,19,0.0416,0.0471,0,0.0,0.918,0.06,0.042,0.136,109,dwa
False,collision,550,274.5,248.539,295.8,0.8402,0.8816,50.548,0.063,1,20,0.0364,0.037,0,0.0,0.905,0.097,0.076,0.263,110,dwa
False,collision,470,234.5,217.94,295.8,0.7368,0.7531,78.715,0.143,1,11,0.0234,0.0238,0,0.0,0.928,0.048,0.018,0.048,111,dwa
False,collision,536,267.5,242.757,295.8,0.8207,0.8591,57.123,0.33,1,32,0.0597,0.0597,0,0.0,0.907,0.093,0.05,0.156,112,dwa
False,collision,516,257.5,231.217,295.8,0.7817,0.827,66.608,0.311,1,31,0.0601,0.0608,0,0.0,0.897,0.069,0.046,0.154,113,dwa
False,collision,511,255.0,224.622,295.8,0.7594,0.819,76.854,0.305,1,38,0.0744,0.075,0,0.0,0.88,0.105,0.085,0.268,114,dwa
False,collision,63,31.0,27.4,295.8,0.0926,0.0996,268.511,0.194,1,2,0.0317,0.0317,0,0.0,0.876,0.068,0.188,0.661,115,dwa
False,max_time,1801,900.0,143.54,295.8,0.4853,2.8905,152.911,0.554,0,25,0.0139,0.0139,0,0.0,0.16,0.039,0.008,0.026,116,dwa
False,collision,566,282.5,250.19,295.8,0.8458,0.9073,47.303,0.284,1,31,0.0548,0.0554,0,0.0,0.885,0.06,0.055,0.17,117,dwa
False,max_time,1801,900.0,121.24,295.8,0.4099,2.8905,174.74,0.622,0,1536,0.8529,0.8529,0,0.0,0.135,0.036,0.006,0.019,118,dwa
False,collision,455,227.0,210.13,295.8,0.7104,0.729,86.264,0.254,1,19,0.0418,0.043,0,0.0,0.925,0.046,0.024,0.082,119,dwa
True,goal_reached,688,343.5,302.856,295.8,1.0239,1.1032,0.243,0.434,0,33,0.048,0.0538,0,0.0,0.881,0.097,0.049,0.135,120,dwa
False,collision,612,305.5,260.712,295.8,0.8814,0.9812,65.993,0.13,1,64,0.1046,0.1046,0,0.0,0.853,0.2,0.115,0.325,121,dwa
True,goal_reached,674,336.5,301.013,295.8,1.0176,1.0807,0.221,0.42,0,55,0.0816,0.0855,0,0.0,0.894,0.102,0.067,0.204,122,dwa
False,collision,642,320.5,275.263,295.8,0.9306,1.0293,27.918,0.313,1,63,0.0981,0.0992,0,0.0,0.858,0.112,0.155,0.527,123,dwa
False,collision,663,331.0,264.189,295.8,0.8931,1.063,42.93,0.317,1,29,0.0437,0.0484,0,0.0,0.798,0.106,0.06,0.188,124,dwa
True,goal_reached,673,336.0,301.632,295.8,1.0197,1.0791,0.222,0.469,0,29,0.0431,0.0433,0,0.0,0.897,0.095,0.058,0.172,125,dwa
False,max_time,1801,900.0,126.32,295.8,0.427,2.8905,169.912,0.797,0,1,0.0006,0.0006,0,0.0,0.14,0.037,0.002,0.005,126,dwa
False,collision,490,244.5,224.527,295.8,0.759,0.7852,72.944,0.169,1,25,0.051,0.051,0,0.0,0.917,0.065,0.049,0.166,127,dwa
False,collision,473,236.0,213.85,295.8,0.723,0.7579,87.539,0.301,1,23,0.0486,0.0486,0,0.0,0.905,0.079,0.059,0.189,128,dwa
False,collision,115,57.0,52.018,295.8,0.1759,0.1831,244.679,0.075,1,9,0.0783,0.0783,0,0.0,0.908,0.091,0.05,0.11,129,dwa
False,collision,497,248.0,225.153,295.8,0.7612,0.7965,73.289,0.239,1,28,0.0563,0.0563,0,0.0,0.907,0.083,0.052,0.159,130,dwa
False,collision,501,250.0,228.357,295.8,0.772,0.8029,71.799,0.038,1,29,0.0579,0.0579,0,0.0,0.912,0.118,0.062,0.213,131,dwa
True,goal_reached,671,335.0,305.654,295.8,1.0333,1.0759,0.25,0.472,0,24,0.0358,0.0362,0,0.0,0.912,0.102,0.043,0.125,132,dwa
False,collision,457,228.0,209.57,295.8,0.7085,0.7323,87.447,0.258,1,13,0.0284,0.0286,0,0.0,0.918,0.061,0.035,0.105,133,dwa
False,collision,514,256.5,234.997,295.8,0.7944,0.8238,62.572,0.049,1,31,0.0603,0.0603,0,0.0,0.915,0.065,0.039,0.116,134,dwa
False,collision,520,259.5,237.168,295.8,0.8018,0.8334,62.716,0.237,1,22,0.0423,0.0426,0,0.0,0.913,0.087,0.047,0.139,135,dwa
False,collision,463,231.0,211.2,295.8,0.714,0.7419,90.668,0.362,1,25,0.054,0.054,0,0.0,0.913,0.072,0.034,0.089,136,dwa
False,collision,455,227.0,206.856,295.8,0.6993,0.729,93.007,0.294,1,14,0.0308,0.031,0,0.0,0.91,0.105,0.054,0.17,137,dwa
True,goal_reached,706,352.5,310.39,295.8,1.0493,1.1321,0.219,0.41,0,41,0.0581,0.0587,0,0.0,0.88,0.16,0.112,0.357,138,dwa
False,collision,449,224.0,209.44,295.8,0.708,0.7194,86.925,0.226,1,3,0.0067,0.0067,0,0.0,0.934,0.044,0.007,0.012,139,dwa
False,collision,519,259.0,231.23,295.8,0.7817,0.8318,66.932,0.315,1,15,0.0289,0.0299,0,0.0,0.892,0.056,0.023,0.062,140,dwa
False,collision,478,238.5,209.69,295.8,0.7089,0.766,86.726,0.121,1,15,0.0314,0.0325,0,0.0,0.878,0.049,0.072,0.235,141,dwa
False,collision,479,239.0,220.159,295.8,0.7443,0.7676,78.593,0.334,1,14,0.0292,0.0297,0,0.0,0.92,0.076,0.029,0.074,142,dwa
False,collision,465,232.0,207.92,295.8,0.7029,0.7451,89.823,0.119,1,23,0.0495,0.0495,0,0.0,0.895,0.099,0.073,0.258,143,dwa
False,collision,452,225.5,209.43,295.8,0.708,0.7242,86.93,0.11,1,7,0.0155,0.0155,0,0.0,0.928,0.045,0.015,0.039,144,dwa
False,collision,488,243.5,222.469,295.8,0.7521,0.782,75.661,0.299,1,23,0.0471,0.0528,0,0.0,0.913,0.073,0.049,0.16,145,dwa
False,collision,446,222.5,205.7,295.8,0.6954,0.7146,90.629,0.081,1,27,0.0605,0.0622,0,0.0,0.923,0.049,0.035,0.121,146,dwa
False,collision,468,233.5,210.655,295.8,0.7122,0.7499,89.523,0.28,1,25,0.0534,0.0543,0,0.0,0.901,0.078,0.034,0.1,147,dwa
False,max_time,1801,900.0,141.0,295.8,0.4767,2.8905,155.568,0.511,0,18,0.01,0.01,0,0.0,0.157,0.039,0.007,0.023,148,dwa
False,collision,526,262.5,230.687,295.8,0.7799,0.8431,71.541,0.239,1,33,0.0627,0.0663,0,0.0,0.878,0.093,0.063,0.2,149,dwa
False,collision,63,31.0,28.47,295.8,0.0962,0.0996,267.383,0.151,1,3,0.0476,0.0476,0,0.0,0.91,0.041,0.07,0.223,150,dwa
False,collision,446,222.5,205.109,295.8,0.6934,0.7146,92.533,0.28,1,17,0.0381,0.0381,0,0.0,0.921,0.064,0.02,0.055,151,dwa
False,collision,497,248.0,228.207,295.8,0.7715,0.7965,71.964,0.172,1,16,0.0322,0.0323,0,0.0,0.919,0.088,0.037,0.119,152,dwa
False,collision,464,231.5,212.34,295.8,0.7178,0.7435,85.231,0.26,1,13,0.028,0.0321,0,0.0,0.916,0.065,0.032,0.089,153,dwa
False,collision,507,253.0,230.569,295.8,0.7795,0.8125,68.775,0.234,1,23,0.0454,0.0454,0,0.0,0.91,0.085,0.049,0.138,154,dwa
False,collision,490,244.5,226.139,295.8,0.7645,0.7852,71.224,0.202,1,12,0.0245,0.0253,0,0.0,0.924,0.055,0.023,0.059,155,dwa
False,collision,479,239.0,219.107,295.8,0.7407,0.7676,83.906,0.12,1,22,0.0459,0.0503,0,0.0,0.916,0.074,0.025,0.068,156,dwa
False,collision,508,253.5,230.84,295.8,0.7804,0.8141,70.703,0.333,1,24,0.0472,0.0485,0,0.0,0.91,0.077,0.039,0.115,157,dwa
False,collision,138,68.5,62.26,295.8,0.2105,0.22,233.795,0.083,1,12,0.087,0.087,0,0.0,0.905,0.06,0.095,0.335,158,dwa
False,max_time,1801,900.0,147.71,295.8,0.4994,2.8905,148.416,0.672,0,3,0.0017,0.0017,0,0.0,0.164,0.036,0.002,0.005,159,dwa
False,collision,552,275.5,249.31,295.8,0.8428,0.8848,49.845,0.19,1,35,0.0634,0.0641,0,0.0,0.904,0.091,0.049,0.145,160,dwa
False,collision,548,273.5,249.006,295.8,0.8418,0.8784,53.595,0.263,1,30,0.0547,0.0547,0,0.0,0.91,0.094,0.048,0.142,161,dwa
False,collision,489,244.0,212.665,295.8,0.7189,0.7836,91.012,0.353,1,20,0.0409,0.0414,0,0.0,0.871,0.118,0.111,0.395,162,dwa
False,collision,450,224.5,208.29,295.8,0.7042,0.721,87.891,0.188,1,10,0.0222,0.0233,0,0.0,0.927,0.044,0.018,0.062,163,dwa
False,collision,462,230.5,211.667,295.8,0.7156,0.7403,88.52,0.219,1,18,0.039,0.039,0,0.0,0.917,0.065,0.035,0.114,164,dwa
False,collision,478,238.5,217.466,295.8,0.7352,0.766,81.063,0.292,1,27,0.0565,0.0571,0,0.0,0.911,0.08,0.049,0.162,165,dwa
False,collision,448,223.5,206.14,295.8,0.6969,0.7178,90.23,0.278,1,8,0.0179,0.0187,0,0.0,0.921,0.05,0.021,0.073,166,dwa
False,collision,482,240.5,220.157,295.8,0.7443,0.7724,78.308,0.376,1,21,0.0436,0.0448,0,0.0,0.914,0.074,0.032,0.101,167,dwa
