success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,373,186.0,214.84,295.84,0.7262,0.7545,82.8,0.1,1,19,0.0509,0.0511,0,0.0,1.153,0.064,0.116,0.327,74,dwa
False,collision,402,200.5,224.33,295.84,0.7583,0.8133,72.315,0.274,1,15,0.0373,0.0373,0,0.0,1.117,0.05,0.115,0.324,75,dwa
False,collision,363,181.0,206.67,295.84,0.6986,0.7342,90.677,0.28,1,18,0.0496,0.0503,0,0.0,1.14,0.061,0.119,0.335,76,dwa
False,collision,372,185.5,216.83,295.84,0.7329,0.7524,79.233,0.275,1,14,0.0376,0.0433,0,0.0,1.167,0.04,0.108,0.312,77,dwa
False,collision,363,181.0,206.88,295.84,0.6993,0.7342,89.547,0.393,1,16,0.0441,0.0455,0,0.0,1.141,0.051,0.114,0.32,78,dwa
False,collision,399,199.0,204.09,295.84,0.6899,0.8072,92.454,0.376,1,9,0.0226,0.0228,0,0.0,1.024,0.071,0.228,0.689,79,dwa
False,collision,360,179.5,204.85,295.84,0.6924,0.7281,91.307,0.145,1,14,0.0389,0.0475,0,0.0,1.139,0.042,0.108,0.321,80,dwa
False,collision,388,193.5,209.23,295.84,0.7072,0.7849,87.082,0.195,1,7,0.018,0.018,0,0.0,1.079,0.074,0.279,1.01,81,dwa
False,collision,370,184.5,207.75,295.84,0.7022,0.7484,88.481,0.32,1,14,0.0378,0.0378,0,0.0,1.124,0.046,0.121,0.312,82,dwa
False,collision,412,205.5,213.79,295.84,0.7227,0.8336,86.227,0.38,1,25,0.0607,0.0607,0,0.0,1.039,0.103,0.315,1.089,83,dwa
False,collision,367,183.0,208.2,295.84,0.7038,0.7423,90.663,0.281,1,11,0.03,0.03,0,0.0,1.135,0.075,0.116,0.315,84,dwa
False,collision,384,191.5,213.848,295.84,0.7229,0.7768,86.399,0.13,1,14,0.0365,0.0366,0,0.0,1.115,0.078,0.143,0.381,85,dwa
False,collision,403,201.0,205.742,295.84,0.6955,0.8153,92.41,0.381,1,17,0.0422,0.0422,0,0.0,1.022,0.091,0.26,0.892,86,dwa
False,collision,382,190.5,214.23,295.84,0.7241,0.7727,82.061,0.306,1,22,0.0576,0.0576,0,0.0,1.122,0.063,0.174,0.531,87,dwa
False,collision,435,217.0,249.01,295.84,0.8417,0.8802,47.464,0.284,1,14,0.0322,0.0341,0,0.0,1.146,0.067,0.131,0.359,88,dwa
False,collision,497,248.0,268.131,295.84,0.9063,1.0059,34.021,0.31,1,26,0.0523,0.0523,0,0.0,1.081,0.087,0.158,0.475,89,dwa
False,collision,374,186.5,212.37,295.84,0.7179,0.7565,83.799,0.176,1,16,0.0428,0.0428,0,0.0,1.137,0.062,0.143,0.446,90,dwa
False,max_time,841,420.0,141.69,295.84,0.4789,1.7036,154.399,0.545,0,7,0.0083,0.0088,0,0.0,0.337,0.036,0.026,0.076,91,dwa
False,collision,93,46.0,50.94,295.84,0.1722,0.1866,244.999,0.265,1,4,0.043,0.043,0,0.0,1.099,0.063,0.208,0.721,92,dwa
False,collision,478,238.5,242.329,295.84,0.8191,0.9674,69.341,0.36,1,58,0.1213,0.1213,0,0.0,1.015,0.136,0.208,0.649,93,dwa
False,collision,410,204.5,209.598,295.84,0.7085,0.8295,90.215,0.22,1,21,0.0512,0.055,0,0.0,1.023,0.115,0.28,0.943,94,dwa
False,collision,386,192.5,210.56,295.84,0.7117,0.7808,86.079,0.175,1,21,0.0544,0.0548,0,0.0,1.092,0.055,0.167,0.492,95,dwa
False,collision,377,188.0,209.44,295.84,0.7079,0.7626,91.109,0.281,1,12,0.0318,0.0318,0,0.0,1.112,0.081,0.124,0.324,96,dwa
False,collision,417,208.0,225.586,295.84,0.7625,0.8437,76.729,0.389,1,24,0.0576,0.0581,0,0.0,1.083,0.107,0.161,0.449,97,dwa
False,max_time,841,420.0,170.25,295.84,0.5755,1.7036,125.974,0.773,0,2,0.0024,0.0025,0,0.0,0.405,0.037,0.031,0.09,98,dwa
False,collision,482,240.5,232.049,295.84,0.7844,0.9755,69.863,0.31,1,65,0.1349,0.1349,0,0.0,0.964,0.109,0.191,0.546,99,dwa
False,collision,468,233.5,241.487,295.84,0.8163,0.9471,58.269,0.259,1,20,0.0427,0.0437,0,0.0,1.033,0.088,0.184,0.511,100,dwa
