success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,92,45.5,36.04,295.8,0.1218,0.1231,259.807,0.176,1,2,0.0217,0.0217,0,0.0,0.788,0.036,0.031,0.088,69,dwa
False,collision,531,265.0,210.17,295.8,0.7105,0.7167,86.633,0.094,1,22,0.0414,0.0457,0,0.0,0.792,0.046,0.014,0.046,70,dwa
False,collision,151,75.0,59.71,295.8,0.2019,0.2028,236.407,0.158,1,10,0.0662,0.0662,0,0.0,0.794,0.047,0.014,0.035,71,dwa
False,collision,580,289.5,225.28,295.8,0.7616,0.783,75.636,0.142,1,40,0.069,0.069,0,0.0,0.778,0.088,0.045,0.143,72,dwa
False,collision,554,276.5,215.468,295.8,0.7284,0.7478,86.597,0.203,1,36,0.065,0.065,0,0.0,0.779,0.073,0.033,0.098,73,dwa
False,collision,67,33.0,26.13,295.8,0.0883,0.0892,269.857,0.045,1,4,0.0597,0.0597,0,0.0,0.786,0.132,0.03,0.07,74,dwa
False,collision,527,263.0,208.25,295.8,0.704,0.7113,88.826,0.393,1,30,0.0569,0.0573,0,0.0,0.791,0.053,0.017,0.049,75,dwa
False,collision,537,268.0,211.91,295.8,0.7164,0.7248,85.491,0.331,1,16,0.0298,0.0299,0,0.0,0.79,0.054,0.024,0.083,76,dwa
False,collision,533,266.0,208.53,295.8,0.705,0.7194,89.364,0.227,1,24,0.045,0.0471,0,0.0,0.783,0.059,0.02,0.064,77,dwa
False,collision,540,269.5,208.49,295.8,0.7048,0.7289,88.139,0.141,1,33,0.0611,0.0633,0,0.0,0.773,0.045,0.026,0.095,78,dwa
False,collision,521,260.0,205.94,295.8,0.6962,0.7032,90.334,0.148,1,10,0.0192,0.0193,0,0.0,0.791,0.042,0.012,0.036,79,dwa
False,collision,120,59.5,47.37,295.8,0.1601,0.1609,248.446,0.105,1,2,0.0167,0.0167,0,0.0,0.793,0.035,0.013,0.025,80,dwa
False,collision,621,310.0,241.067,295.8,0.815,0.8384,61.667,0.281,1,41,0.066,0.066,0,0.0,0.777,0.092,0.046,0.146,81,dwa
False,collision,538,268.5,210.669,295.8,0.7122,0.7262,89.545,0.234,1,30,0.0558,0.0568,0,0.0,0.784,0.065,0.024,0.073,82,dwa
False,collision,535,267.0,209.89,295.8,0.7096,0.7221,86.419,0.19,1,22,0.0411,0.0411,0,0.0,0.785,0.044,0.022,0.076,83,dwa
False,collision,213,106.0,81.257,295.8,0.2747,0.2867,222.331,0.29,1,31,0.1455,0.1455,0,0.0,0.765,0.189,0.086,0.305,84,dwa
